Size,Scalar_Time,Matrix_Time
13000,7.92e-5,0.0355118
13500,0.000222,0.0377573
14000,0.000141,0.0400323
14500,0.0003148,0.0436813
15000,0.0003626,0.0464914
15500,0.0003341,0.0499699
16000,0.0001971,0.0510454
16500,7.04e-5,0.0593063
17000,0.0002436,0.0629426
17500,0.0002992,0.0655061
18000,0.0004832,0.0688326
18500,0.0003439,0.0696985
19000,0.0001157,0.075022
19500,0.0001871,0.0811801
20000,0.0002766,0.0814068
500,4.5e-6,0.0001163
1000,4.1e-6,0.0003113
1500,5.5e-6,0.0005768
2000,1.06e-5,0.0010115
2500,8.8e-6,0.0014403
3000,8.7e-6,0.0020012
3500,9.2e-6,0.0030658
4000,9.8e-6,0.0024368
4500,1.46e-5,0.0050047
5000,1.49e-5,0.0083634
5500,1.13e-5,0.0052119
6000,1.11e-5,0.0055753
6500,2.11e-5,0.0066345
7000,1.19e-5,0.0093191
7500,1.29e-5,0.0118743
8000,1.9e-5,0.0163011
8500,3.09e-5,0.0171727
9000,1.87e-5,0.0182806
9500,1.47e-5,0.019789
10000,1.41e-5,0.0193504
10500,0.0003424,0.0226092
11000,0.0002097,0.0302265
11500,0.0003648,0.0299785
12000,0.0003877,0.0296341
12500,8.24e-5,0.032392
13000,0.0003244,0.034577
13500,0.0003313,0.03688
14000,0.000102,0.0413479
14500,0.0001817,0.0425412
15000,5.68e-5,0.0493648
15500,0.0004025,0.0492366
16000,0.0001596,0.0481901
16500,0.0002465,0.0554818
17000,0.0003055,0.0575832
17500,0.0004115,0.0651895
18000,8.69e-5,0.0697403
18500,0.0003496,0.0712032
19000,0.0003055,0.0742615
19500,6.32e-5,0.0779878
20000,0.0003214,0.0864506
500,5.4e-6,0.0003864
1000,5.9e-6,0.0003895
1500,6.1e-6,0.0006622
2000,8.7e-6,0.0008395
2500,9.1e-6,0.0016916
3000,9.0e-6,0.0022717
3500,1.0e-5,0.0038338
4000,9.9e-6,0.0038066
4500,1.17e-5,0.004506
5000,1.17e-5,0.0043694
5500,1.5e-5,0.0069107
6000,1.16e-5,0.0072667
6500,1.29e-5,0.0091321
7000,1.3e-5,0.0100197
7500,1.81e-5,0.0134344
8000,1.74e-5,0.0139534
8500,3.21e-5,0.0190683
9000,1.4e-5,0.0185468
9500,1.52e-5,0.0178245
10000,1.51e-5,0.0191095
10500,0.0002988,0.0214191
11000,6.1e-5,0.0273703
11500,5.75e-5,0.0291746
12000,0.0003591,0.0293314
12500,0.0001205,0.0319326
13000,0.0004013,0.0370575
13500,0.0002972,0.0370593
14000,0.0002044,0.0441058
14500,0.0001513,0.0475851
15000,0.0002546,0.0465108
15500,5.58e-5,0.0506174
16000,0.0003631,0.0521207
16500,9.19e-5,0.0560316
17000,0.0002916,0.0633687
17500,0.0004043,0.0646217
18000,0.0001524,0.0746609
18500,0.0002406,0.0753271
19000,0.000358,0.0769754
19500,0.0002615,0.0857231
20000,0.0001653,0.0812242
